time="2025-12-26 16:00:30" level=info msg="Starting server...\nURL: http://0.0.0.0:8081"
time="2025-12-26 16:07:34" level=info msg="| 200 |  4.289734792s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:07:37" level=info msg="| 200 |    2.178208ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:07:39" level=info msg="| 200 |   5.77114925s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:07:41" level=info msg="| 200 |  3.611263291s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:07:45" level=info msg="| 200 |    2.339667ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:07:49" level=info msg="| 200 |    3.216917ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:07:50" level=info msg="| 200 |   4.77700575s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:07:54" level=info msg="| 200 |  4.317422916s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:07:57" level=info msg="| 200 |    1.825375ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:08:01" level=info msg="| 200 |    1.951083ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:08:05" level=info msg="| 200 |    1.740041ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:08:07" level=info msg="| 200 |     5.743414s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:08:09" level=info msg="| 200 |  3.630038708s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:08:13" level=info msg="| 200 |    2.200583ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:08:17" level=info msg="| 200 |    2.647083ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:08:21" level=info msg="| 200 |      3.83471s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:08:21" level=info msg="| 200 |    4.844334ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:08:25" level=info msg="| 200 |    1.608791ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:08:26" level=info msg="| 200 |  4.554966208s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:08:29" level=info msg="| 200 |  3.730380458s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:08:29" level=info msg="| 200 |    2.726709ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:08:33" level=info msg="| 200 |    2.557667ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:08:37" level=info msg="| 200 |    3.7585305s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:08:37" level=info msg="| 200 |    2.715792ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:08:41" level=info msg="| 200 |     2.99975ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:08:44" level=info msg="| 200 |  6.418573958s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:08:45" level=info msg="| 200 |  3.781704541s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:08:49" level=info msg="| 200 |    1.321375ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:08:53" level=info msg="| 200 |  3.704656792s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:08:53" level=info msg="| 200 |    2.677625ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:08:57" level=info msg="| 200 |    1.088666ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:09:01" level=info msg="| 200 |     1.27375ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:09:05" level=info msg="| 200 |    3.352208ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:09:07" level=info msg="| 200 |  9.123463542s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:09:09" level=info msg="| 200 |  7.534017292s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:09:13" level=info msg="| 200 |  7.259599167s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:09:16" level=info msg="| 200 |    2.704375ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:09:20" level=info msg="| 200 |    2.010542ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:09:21" level=info msg="| 200 |   4.35029775s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:09:24" level=info msg="| 200 |     3.53225ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:09:25" level=info msg="| 200 |  4.374580041s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:09:28" level=info msg="| 200 |    1.873417ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:09:29" level=info msg="| 200 |  4.335861083s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:09:32" level=info msg="| 200 |       2.501ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:09:36" level=info msg="| 200 |      2.4635ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:09:37" level=info msg="| 200 |   4.34870975s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:09:40" level=info msg="| 200 |    3.547583ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:09:41" level=info msg="| 200 |  4.352537459s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:09:44" level=info msg="| 200 |    1.275333ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:09:45" level=info msg="| 200 |  4.362093958s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:09:48" level=info msg="| 200 |    4.732875ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:09:49" level=info msg="| 200 |  4.412083583s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:09:52" level=info msg="| 200 |    1.922917ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:09:53" level=info msg="| 200 |  4.410615875s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:09:56" level=info msg="| 200 |     4.12075ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:09:57" level=info msg="| 200 |  4.332011792s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:10:00" level=info msg="| 200 |  3.754781833s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:10:00" level=info msg="| 200 |    1.549333ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:10:04" level=info msg="| 200 |    1.121667ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:10:08" level=info msg="| 200 |    2.259417ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:10:11" level=info msg="| 200 |  6.466048917s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:10:14" level=info msg="| 200 |    2.717542ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:10:15" level=info msg="| 200 |  6.479973459s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:10:18" level=info msg="| 200 |    2.900041ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:10:19" level=info msg="| 200 |  4.271062459s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:10:22" level=info msg="| 200 |  3.673971083s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:10:26" level=info msg="| 200 |    1.889916ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:10:30" level=info msg="| 200 |  3.647704625s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:10:34" level=info msg="| 200 |    3.274375ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:10:38" level=info msg="| 200 |    3.163709ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:10:39" level=info msg="| 200 |  4.328731333s |             ::1 | POST | /visitor_login |"
time="2025-12-26 16:10:42" level=info msg="| 200 |    1.763167ms |             ::1 | GET | /livechat?user_id=agent |"
time="2025-12-26 16:10:43" level=info msg="| 200 |  4.781740375s |             ::1 | POST | /visitor_login |"
